query,pandas_function_call
Calculate sum for profit,df['profit'].sum()
Show relationship of height,df.corr()['height']
Describe values of score,df['score'].describe()
Compute median for temperature,df['temperature'].median()
Compute percentile for weight,df['weight'].quantile(0.5)
Count entries in profit,df['profit'].count()
Find standard deviation of sales,df['sales'].std()
Compute running max for expenses,df['expenses'].cummax()
Find cumulative sum of age,df['age'].cumsum()
Count unique entries for height,df['height'].nunique()
Show frequency distribution for revenue,df['revenue'].value_counts()
Show skew value for price,df['price'].skew()
Get nunique of height,df['height'].nunique()
Find cumulative min of score,df['score'].cummin()
Compute running max for price,df['price'].cummax()
Get MAD of price,df['price'].mad()
Compute covariance for price,df.cov()['price']
Compute running total for temperature,df['temperature'].cumsum()
Find the average of sales,df['sales'].mean()
Get cummin for height,df['height'].cummin()
Find the average of revenue,df['revenue'].mean()
Find cumulative max of age,df['age'].cummax()
Compute covariance for height,df.cov()['height']
Find correlation with temperature,df.corr()['temperature']
Compute mean for height,df['height'].mean()
Find standard deviation of weight,df['weight'].std()
Get cumprod for profit,df['profit'].cumprod()
Find standard deviation of temperature,df['temperature'].std()
Get cummin for height,df['height'].cummin()
Compute running total for profit,df['profit'].cumsum()
Compute skew for score,df['score'].skew()
Compute value counts of sales,df['sales'].value_counts()
Find percentage change in revenue,df['revenue'].pct_change()
Find cumulative sum of age,df['age'].cumsum()
Compute percentile for sales,df['sales'].quantile(0.5)
Show mean of expenses,df['expenses'].mean()
Find variance of revenue,df['revenue'].var()
Get middle value of profit,df['profit'].median()
Show kurtosis of expenses,df['expenses'].kurt()
Show highest value for score,df['score'].max()
Get diff for expenses,df['expenses'].diff()
Compute mean for revenue,df['revenue'].mean()
Find mean absolute deviation of height,df['height'].mad()
Find number of unique values in profit,df['profit'].nunique()
Get quantile for expenses,df['expenses'].quantile(0.5)
Find median quantile of height,df['height'].quantile(0.5)
Compute MAD for sales,df['sales'].mad()
Find minimum of price,df['price'].min()
Find mode of revenue,df['revenue'].mode()
Find cumulative sum of price,df['price'].cumsum()
Show skew value for sales,df['sales'].skew()
Compute std for revenue,df['revenue'].std()
Count entries in sales,df['sales'].count()
Get statistical variance of price,df['price'].var()
Find percentage change in profit,df['profit'].pct_change()
Get cummax for expenses,df['expenses'].cummax()
Find mode of temperature,df['temperature'].mode()
Find standard deviation of age,df['age'].std()
Show percent change of revenue,df['revenue'].pct_change()
Compute skew for weight,df['weight'].skew()
Find the average of price,df['price'].mean()
